record_id,trench_id,scan_idx,susceptibility,depth
8,1,1,0.0,0.0
8,1,2,0.0055,1.7741935483870968
8,1,3,0.018,3.5483870967741935
8,1,4,0.0413,5.32258064516129
8,1,5,0.0415,7.096774193548387
8,1,6,0.0542,8.870967741935484
8,1,7,0.0718,10.64516129032258
8,1,8,0.0961,12.419354838709678
8,1,9,0.1183,14.193548387096774
8,1,10,0.1707,15.96774193548387
8,1,11,0.2306,17.741935483870968
8,1,12,0.213,19.516129032258064
8,1,13,0.1954,21.29032258064516
8,1,14,0.2099,23.064516129032256
8,1,15,0.2439,24.838709677419356
8,1,16,0.3232,26.612903225806452
8,1,17,0.4587,28.387096774193548
8,1,18,0.3704,30.161290322580644
8,1,19,0.2536,31.93548387096774
8,1,20,0.175,33.70967741935484
8,1,21,0.16,35.483870967741936
8,1,22,0.1418,37.25806451612903
8,1,23,0.135,39.03225806451613
8,1,24,0.1247,40.806451612903224
8,1,25,0.1306,42.58064516129032
8,1,26,0.118,44.354838709677416
8,1,27,0.0818,46.12903225806451
8,1,28,0.0596,47.903225806451616
8,1,29,0.0714,49.67741935483871
8,1,30,0.0829,51.45161290322581
8,1,31,0.078,53.225806451612904
8,1,32,0.0504,55.0
8,1,33,0.0454,56.774193548387096
8,1,34,0.0669,58.54838709677419
8,1,35,0.0962,60.32258064516129
8,1,36,0.1254,62.096774193548384
8,1,37,0.1076,63.87096774193548
8,1,38,0.0606,65.64516129032258
8,1,39,0.0615,67.41935483870968
8,1,40,0.0674,69.19354838709677
8,1,41,0.0819,70.96774193548387
8,1,42,0.0722,72.74193548387096
8,1,43,0.0939,74.51612903225806
8,1,44,0.1126,76.29032258064517
8,1,45,0.1372,78.06451612903226
8,1,46,0.1914,79.83870967741936
8,1,47,0.3154,81.61290322580645
8,1,48,0.4229,83.38709677419355
8,1,49,0.2307,85.16129032258064
8,1,50,0.1834,86.93548387096774
8,1,51,0.1808,88.70967741935483
8,1,52,0.1664,90.48387096774194
8,1,53,0.1885,92.25806451612902
8,1,54,0.4404,94.03225806451613
8,1,55,0.5403,95.80645161290323
8,1,56,0.387,97.58064516129032
8,1,57,0.2194,99.35483870967742
8,1,58,0.1084,101.12903225806451
8,1,59,0.0414,102.90322580645162
8,1,60,0.0154,104.6774193548387
8,1,61,0.0,106.45161290322581
8,1,62,0.0,108.2258064516129
8,1,63,0.0,110.0
9,1,1,0.0318,0.0
9,1,2,0.0627,2.0
9,1,3,0.1021,4.0
9,1,4,0.1018,6.0
9,1,5,0.1194,8.0
9,1,6,0.1968,10.0
9,1,7,0.2113,12.0
9,1,8,0.1624,14.0
9,1,9,0.2044,16.0
9,1,10,0.1944,18.0
9,1,11,0.0934,20.0
9,1,12,0.086,22.0
9,1,13,0.091,24.0
9,1,14,0.129,26.0
9,1,15,0.2344,28.0
9,1,16,0.1737,30.0
9,1,17,0.1176,32.0
9,1,18,0.0708,34.0
9,1,19,0.0597,36.0
9,1,20,0.044,38.0
9,1,21,0.0404,40.0
9,1,22,0.0405,42.0
9,1,23,0.0619,44.0
9,1,24,0.0781,46.0
9,1,25,0.109,48.0
9,1,26,0.1153,50.0
9,1,27,0.0922,52.0
9,1,28,0.0708,54.0
9,1,29,0.067,56.0
9,1,30,0.1414,58.0
9,1,31,0.1849,60.0
9,1,32,0.1758,62.0
9,1,33,0.1403,64.0
9,1,34,0.1506,66.0
9,1,35,0.1578,68.0
9,1,36,0.1707,70.0
9,1,37,0.2025,72.0
9,1,38,0.227,74.0
9,1,39,0.2294,76.0
9,1,40,0.2125,78.0
9,1,41,0.149,80.0
9,1,42,0.1553,82.0
9,1,43,0.2046,84.0
9,1,44,0.2136,86.0
9,1,45,0.2264,88.0
9,1,46,0.2141,90.0
9,1,47,0.4086,92.0
9,1,48,0.5181,94.0
9,1,49,0.5748,96.0
9,1,50,0.369,98.0
9,1,51,0.1733,100.0
9,1,52,0.0969,102.0
9,1,53,0.0656,104.0
9,1,54,0.0471,106.0
9,1,55,0.0339,108.0
9,1,56,0.0334,110.0
10,1,1,0.0006,0.0
10,1,2,0.0018,1.8032786885245902
10,1,3,0.0163,3.6065573770491803
10,1,4,0.0625,5.409836065573771
10,1,5,0.0662,7.213114754098361
10,1,6,0.0849,9.01639344262295
10,1,7,0.1253,10.819672131147541
10,1,8,0.182,12.62295081967213
10,1,9,0.1429,14.426229508196721
10,1,10,0.1888,16.229508196721312
10,1,11,0.1791,18.0327868852459
10,1,12,0.1717,19.83606557377049
10,1,13,0.1461,21.639344262295083
10,1,14,0.1291,23.442622950819672
10,1,15,0.1784,25.24590163934426
10,1,16,0.2598,27.049180327868854
10,1,17,0.2476,28.852459016393443
10,1,18,0.1427,30.65573770491803
10,1,19,0.073,32.459016393442624
10,1,20,0.0497,34.26229508196721
10,1,21,0.0502,36.0655737704918
10,1,22,0.0588,37.868852459016395
10,1,23,0.0554,39.67213114754098
10,1,24,0.057,41.47540983606557
10,1,25,0.0547,43.278688524590166
10,1,26,0.0429,45.08196721311475
10,1,27,0.0491,46.885245901639344
10,1,28,0.0446,48.68852459016394
10,1,29,0.0494,50.49180327868852
10,1,30,0.048,52.295081967213115
10,1,31,0.0231,54.09836065573771
10,1,32,0.0187,55.90163934426229
